Date,Month,Day,Year,Julian Day,Type,Vessel,Captain,Trip #,Grid #,Consolidated Grid,Location,Consolidated Location,Barbed hook,Trip Length (hr),Ave Depth (ft),No Rods,Bait,Species,2015TagInventory,PredatorData.PredatorID,Length (in),Length (cm),Length (mm),PredGW,GWGroup,Released,Sex,Add'l PH Released,Add'l ATF Released,Weight (lb),Weight (kg),Prey Code,Prey Comments,PredatorData.Comments,Gape Width (mm),Gape Height (mm),Gape Notes,DS = data sheet,Time Caught,2016Modified_PreyCode,Checked,ID,PreyData.PredatorID,Inventory/Discarded,PreyID,Processing Date,Tech,NoPrey,ID_Common,ID_final_Mod,ID_final,ID_final_ITIS,Tax Group,Common Name,Characteristics Used,Total Mass (g),Total Mass (mg),Prey Mass (g),Prey Mass (mg),DigState,PreyData.Comments,Oto Cond - 1,Oto Cond - 2,Oto 1 Mass (mg),Oto 2 Mass (mg),Oto 1 L (mm),Oto 2 L (mm),Oto 1 H (mm),Oto 2 H (mm),Total L (mm),Total L (mm) - No Head,FL (mm),FL (mm) - No Head,Std L (mm),Std L (mm) - No Head,Head L (mm),PreySex,Carap L (mm),Carape W (mm),Abd L (mm),Abd W (mm),Rost L (mm),Prop L (mm) - L,Prop H (mm) - L,Prop L (mm) - R,Prop H (mm) - R,Prop L (mm) - U,Prop H (mm) - U,Mantle L (mm),Arm L (mm),Fin L (mm),Tent L (mm),BW (g),UHL,URL,UCL,UW (g),LHL,UJW,LCL,LW (g),Lens Diam 1 (mm),Lens Diam 2 (mm),Other Measurements,Vertebral Count,Pen L (mm)
7/2/16,7,2,2016,184,Charter,Kiska Ann,Ben Huntley,5,8,E,,Howard Bay,Y,1.86,375,4,"halibut skin, ATF, cod, salmon",PH,FALSE,180,31,78.7,787,94.220284,76-95,N,F,3,,13,5.75,8,Contents,,,,,,00-Jan-00,,TRUE,960,180,TRUE,0180A,15-Sep-16,CB,1,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,robust parapophyses,4.3,,4.3,,"2: < 5% remaining (beak, spines, otoliths)","vertebral column, subopercle, dentary (1/2s), misc. bones",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/16,7,2,2016,184,Charter,Kiska Ann,Ben Huntley,5,8,E,,Howard Bay,Y,1.86,375,4,"halibut skin, ATF, cod, salmon",ATF,FALSE,185,23.5,59.7,597,123.194191,116-135,N,,,,,,8,Contents,,,,,,00-Jan-00,,TRUE,956,185,TRUE,0185A,15-Sep-16,CB,1,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified","fish lens, fish flesh",0.08,,0.08,,"2: < 5% remaining (beak, spines, otoliths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/16,7,2,2016,184,Charter,Kiska Ann,Ben Huntley,5,8,E,,Howard Bay,Y,1.86,375,4,"halibut skin, ATF, cod, salmon",PH,FALSE,190,31,78.7,787,94.220284,76-95,N,M,,,13,5.85,8,Contents,,,,,,00-Jan-00,,TRUE,2401,190,TRUE,0190A,22-Jun-17,CB,1,Walleye Pollock,Gadus chalcogrammus,Gadus chalcogrammus,934083,Species,Walleye Pollock,"otolith shape, club-like post cleithrum",31.2,,31.2,,"2: < 5% remaining (beak, spines, otoliths)","partial vertebral column, piece of head, dentary, otolith (2), gills, loose vertebrae, attached maxilla (2) and premaxilla (2), subopercle (2), post cleithrum, anguloarticular (2), other bones",fair,fair,365.54,338.14,18.84,18.21,7.25,6.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/16,7,2,2016,184,Charter,Kiska Ann,Ben Huntley,5,8,E,,Howard Bay,Y,1.86,375,4,"halibut skin, ATF, cod, salmon",ATF,FALSE,196,22,55.9,559,115.330732,96-115,N,,,,,,8,Contents,,,,,,00-Jan-00,,TRUE,462,196,TRUE,0196A,29-Jul-16,CB,1,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,0.1,,0.1,,"2: < 5% remaining (beak, spines, otoliths)","otolith, piece of dentary, other unidentified bone",fair,,57.79,,9.92,,3.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7/2/16,7,2,2016,184,Charter,Kiska Ann,Ben Huntley,5,8,E,,Howard Bay,Y,1.86,375,4,"halibut skin, ATF, cod, salmon",ATF,FALSE,197,24.25,61.6,616,127.1259205,116-135,N,,,,,,8,Contents,,,,,,00-Jan-00,,TRUE,452,197,TRUE,0197A,29-Jul-16,CB,1,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified",cycloid scales,0.48,,0.48,,"2: < 5% remaining (beak, spines, otoliths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/23/15,6,23,2015,174,Charter,Ho'okipa,Jon Wilson,1,9,F,,Funter Bay,Y,1.75,350,5,"skin, salmon",PH,TRUE,277,32.25,81.9,819,98.019489,96-115,N,,,,,,2,"scales, lenses",,,,,No real DS,,1,TRUE,865,277,TRUE,0277A,12-Sep-16,CB,1,Bony Fishes,Teleostei,Teleostei,161105,Infraclass,"Bony fish, unidentified","cycloid scales, lens (2), misc. bones",0.57,,0.57,,"2: < 5% remaining (beak, spines, otoliths)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/15,6,22,2015,173,Charter,,Matt,1,11,G,,Icy Strait,N,3,300,5,"skin, cod",PH,TRUE,278,34,86.4,864,103.338376,96-115,N,,,,,,5,"prawn, prawn",,,,,,,1,TRUE,1356,278,TRUE,0278C,14-Oct-16,CB,3,Pacific Herring,Clupea pallasii,Clupea pallasii,551209,Species,Pacific Herring,H-shaped hemal arches,36.93,,2.05,,"2: < 5% remaining (beak, spines, otoliths)","vertebral column, in with 0278B",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/15,6,22,2015,173,Charter,,Matt,1,11,G,,Icy Strait,N,3,300,5,"skin, cod",PH,TRUE,278,34,86.4,864,103.338376,96-115,N,,,,,,5,"prawn, prawn",,,,,,,1,TRUE,1355,278,TRUE,0278B,14-Oct-16,CB,3,Pollock/Cod,Gadus,Gadus,164710,Genus,Pollock/Cod,otolith shape,36.93,,0.02787,27.87,"2: < 5% remaining (beak, spines, otoliths)",in with 0278C,fair,,27.87,,9.39,,3.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6/22/15,6,22,2015,173,Charter,,Matt,1,11,G,,Icy Strait,N,3,300,5,"skin, cod",PH,TRUE,278,34,86.4,864,103.338376,96-115,N,,,,,,5,"prawn, prawn",,,,,,,1,TRUE,1354,278,TRUE,0278A,14-Oct-16,CB,3,Pandalid Shrimps,Pandalidae,Pandalus platyceros,96979,Species,Spot Prawn,matched up with 0853A (same rostrum and body shape/size),36.93,,34.85,,"4: 50-74% remaining (body morph distinguishable, little/no skin, intact muscle)","almost complete shrimp (missing part of head), length was taken by lining portions up, rostrum broken",,,,,,,,,180,,,,,,,,,,66.47,,,,,,,,,,,,,,,,,,,,,,,,,,
6/25/15,6,25,2015,176,Charter,Shelter Lodge,Richard Yamada,1,7,D,,Favorite Channel,N,2,300,2,"skin, cod, salmon",PH,TRUE,279,31,78.7,787,94.220284,76-95,N,,5,1,,,3,fish vertebrae and bits of crab,,,,,,,,TRUE,228,279,TRUE,0279C,14-Jul-16,CB,3,Crabs/Shrimps,Crustacea,Pleocyemata,96105,Suborder,"Shrimp, unidentified","shrimp legs, eyes, carapace, segmented appendages",4.4,,2.04,,3: 5-49% remaining (some muscle),"legs identifiable, large, dark eye(s) present, carapace, segmented appendages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
