Month,Day,Year,Julian Day,Type,Vessel,Captain,Trip #,Grid #,Consolidated Grid,Location,Consolidated Location,Barbed hook,Trip Length (hr),Ave Depth (ft),No Rods,Bait,Date,Species,2015TagInventory,PredatorID,Length (in),Length (cm),Length (mm),PredGW,GWGroup,Released,Sex,Add'l PH Released,Add'l ATF Released,Weight (lb),Weight (kg),Prey Code,Prey Comments,Comments,Gape Width (mm),Gape Height (mm),Gape Notes,DS = data sheet,Time Caught,2016Modified_PreyCode
7,6,2016,188,Charter,Kaley Y,Kenji Yamada,16,8,E,,Howard Bay,N,0.97,335,5,"cod, ATF, halibut skin, salmon",7/6/2016,ATF,FALSE,2110,,,,,NA,,,,,,,,,,,,,,00-Jan-00,
7,6,2016,188,Charter,Kaley Y,Kenji Yamada,16,8,E,,Howard Bay,N,0.97,335,5,"cod, ATF, halibut skin, salmon",7/6/2016,ATF,TRUE,0413,17.50,44.5,444,91.84355,76-95,,,,,,,,,,,,,,00-Jan-00,
7,6,2016,188,Charter,Kaley Y,Kenji Yamada,16,8,E,,Howard Bay,N,0.97,335,5,"cod, ATF, halibut skin, salmon",7/6/2016,ATF,FALSE,2193,18.50,47.0,470,97.0033,96-115,,,,,,,,,,,,,,00-Jan-00,
7,6,2016,188,Charter,Kaley Y,Kenji Yamada,16,8,E,,Howard Bay,N,0.97,335,5,"cod, ATF, halibut skin, salmon",7/6/2016,ATF,FALSE,1597,19.50,49.5,495,102.224967,96-115,,,,,,,,,,,,,,00-Jan-00,
7,6,2016,188,Charter,Kaley Y,Kenji Yamada,16,8,E,,Howard Bay,N,0.97,335,5,"cod, ATF, halibut skin, salmon",7/6/2016,ATF,FALSE,2102,20.50,52.1,521,107.467273,96-115,,,,,,,,,,,,,,00-Jan-00,
7,6,2016,188,Charter,Kaley Y,Kenji Yamada,16,8,E,,Howard Bay,N,0.97,335,5,"cod, ATF, halibut skin, salmon",7/6/2016,ATF,FALSE,2151,20.50,52.1,521,107.467273,96-115,,,,,,,,,,,,,,00-Jan-00,
7,6,2016,188,Charter,Kaley Y,Kenji Yamada,16,8,E,,Howard Bay,N,0.97,335,5,"cod, ATF, halibut skin, salmon",7/6/2016,ATF,FALSE,2109,20.50,52.1,521,107.467273,96-115,,,,,,,,,,,,,,00-Jan-00,
7,6,2016,188,Charter,Kaley Y,Kenji Yamada,16,8,E,,Howard Bay,N,0.97,335,5,"cod, ATF, halibut skin, salmon",7/6/2016,ATF,FALSE,1595,23.50,59.7,597,123.194191,116-135,,,,,,,,,,,,,,00-Jan-00,
7,6,2016,188,Charter,Kaley Y,Kenji Yamada,16,8,E,,Howard Bay,N,0.97,335,5,"cod, ATF, halibut skin, salmon",7/6/2016,ATF,FALSE,2160,24.00,61.0,610,125.8979,116-135,,,,,,,,,,,,,,00-Jan-00,
,,,,Charter,Ho'okipa,Jon Wilson,,,,,,,,,,,,ATF,FALSE,0979,23.75,60.3,603,124.5047675,116-135,,,,,,,,,,,,,Rite in the Rain only; no other info,,
